county_fips,population
27163,169679
27171,93594
27025,31962
27019,74104
27013,45049
27085,26851
27111,47130
27141,66213
27005,25583
27075,8887
27119,22851
27161,13581
27067,30048
27045,15635
27079,21032
27167,4931
27153,17142
27105,13269
27051,4382
27023,9078
27063,8028
27003,242111
27137,155901
27071,9491
27037,280314
27135,11519
27007,28212
27061,34162
27157,15435
27021,22712
27029,6038
27049,29432
27041,29900
27109,111855
27115,15924
27169,35517
27149,6781
27073,5596
27099,26634
27097,24866
27143,10640
27009,28009
27091,15912
27027,41430
27133,7149
27093,17350
27155,2595
27031,3973
27087,3364
27125,2787
27129,10161
27123,356720
27039,14482
27047,23287
27001,12550
27131,32995
27173,7584
27147,21152
27103,23775
27121,8807
27057,16526
27065,9578
27043,11098
27165,7515
27033,8504
27151,7333
27145,104827
27139,98419
27015,20762
27053,908445
27095,18822
27035,50018
27059,22876
27113,10195
27017,25828
27083,17494
27127,11332
27081,4549
27101,6701
27159,10213
27107,4996
27069,3231
27089,6796
27055,15466
27011,3989
27077,3021
27117,7095
