county_fips,group_label,group_value,stat,farm_flag,farm_name
27003,all,-99,112813,0,NA
27003,decile,1,13316,0,NA
27003,decile,2,14932,0,NA
27003,decile,3,14873,0,NA
27003,decile,4,13377,0,NA
27003,decile,5,12228,0,NA
27003,decile,6,10539,0,NA
27003,decile,7,9651,0,NA
27003,decile,8,8548,0,NA
27003,decile,9,7543,0,NA
27003,decile,10,7806,0,NA
27009,all,-99,13580,0,NA
27009,decile,1,2420,0,NA
27009,decile,2,2018,0,NA
27009,decile,3,1650,0,NA
27009,decile,4,1357,0,NA
27009,decile,5,1262,0,NA
27009,decile,6,1111,0,NA
27009,decile,7,1044,0,NA
27009,decile,8,1014,0,NA
27009,decile,9,830,0,NA
27009,decile,10,874,0,NA
27013,all,-99,21880,0,NA
27013,decile,1,2814,0,NA
27013,decile,2,3046,0,NA
27013,decile,3,3110,0,NA
27013,decile,4,2806,0,NA
27013,decile,5,2307,0,NA
27013,decile,6,1979,0,NA
27013,decile,7,1836,0,NA
27013,decile,8,1535,0,NA
27013,decile,9,1187,0,NA
27013,decile,10,1260,0,NA
27015,all,-99,9587,0,NA
27015,decile,1,1638,0,NA
27015,decile,2,1303,0,NA
27015,decile,3,1218,0,NA
27015,decile,4,1028,0,NA
27015,decile,5,823,0,NA
27015,decile,6,810,0,NA
27015,decile,7,650,0,NA
27015,decile,8,640,0,NA
27015,decile,9,562,0,NA
27015,decile,10,915,0,NA
27019,all,-99,33081,0,NA
27019,decile,1,8626,0,NA
27019,decile,2,6014,0,NA
27019,decile,3,4352,0,NA
27019,decile,4,3073,0,NA
27019,decile,5,2353,0,NA
27019,decile,6,2009,0,NA
27019,decile,7,1792,0,NA
27019,decile,8,1675,0,NA
27019,decile,9,1498,0,NA
27019,decile,10,1689,0,NA
27025,all,-99,16062,0,NA
27025,decile,1,4359,0,NA
27025,decile,2,3168,0,NA
27025,decile,3,2028,0,NA
27025,decile,4,1488,0,NA
27025,decile,5,1211,0,NA
27025,decile,6,1014,0,NA
27025,decile,7,834,0,NA
27025,decile,8,618,0,NA
27025,decile,9,547,0,NA
27025,decile,10,795,0,NA
27037,all,-99,135336,0,NA
27037,decile,1,16417,0,NA
27037,decile,2,18478,0,NA
27037,decile,3,17867,0,NA
27037,decile,4,15651,0,NA
27037,decile,5,13588,0,NA
27037,decile,6,12104,0,NA
27037,decile,7,11234,0,NA
27037,decile,8,10699,0,NA
27037,decile,9,9768,0,NA
27037,decile,10,9530,0,NA
27039,all,-99,6751,0,NA
27039,decile,1,1846,0,NA
27039,decile,2,1214,0,NA
27039,decile,3,811,0,NA
27039,decile,4,643,0,NA
27039,decile,5,512,0,NA
27039,decile,6,386,0,NA
27039,decile,7,353,0,NA
27039,decile,8,320,0,NA
27039,decile,9,254,0,NA
27039,decile,10,412,0,NA
27041,all,-99,13705,0,NA
27041,decile,1,3193,0,NA
27041,decile,2,2060,0,NA
27041,decile,3,1540,0,NA
27041,decile,4,1253,0,NA
27041,decile,5,1062,0,NA
27041,decile,6,928,0,NA
27041,decile,7,934,0,NA
27041,decile,8,824,0,NA
27041,decile,9,710,0,NA
27041,decile,10,1201,0,NA
27043,all,-99,5192,1,Mnlake
27043,decile,1,692,1,Mnlake
27043,decile,2,667,1,Mnlake
27043,decile,3,642,1,Mnlake
27043,decile,4,578,1,Mnlake
27043,decile,5,447,1,Mnlake
27043,decile,6,388,1,Mnlake
27043,decile,7,420,1,Mnlake
27043,decile,8,384,1,Mnlake
27043,decile,9,367,1,Mnlake
27043,decile,10,607,1,Mnlake
27047,all,-99,10915,0,NA
27047,decile,1,1350,0,NA
27047,decile,2,1389,0,NA
27047,decile,3,1302,0,NA
27047,decile,4,1156,0,NA
27047,decile,5,1028,0,NA
27047,decile,6,931,0,NA
27047,decile,7,830,0,NA
27047,decile,8,863,0,NA
27047,decile,9,775,0,NA
27047,decile,10,1291,0,NA
27051,all,-99,2153,0,NA
27051,decile,1,328,0,NA
27051,decile,2,321,0,NA
27051,decile,3,262,0,NA
27051,decile,4,221,0,NA
27051,decile,5,197,0,NA
27051,decile,6,157,0,NA
27051,decile,7,162,0,NA
27051,decile,8,144,0,NA
27051,decile,9,133,0,NA
27051,decile,10,228,0,NA
27053,all,-99,435456,0,NA
27053,decile,1,7440,0,NA
27053,decile,2,16326,0,NA
27053,decile,3,26494,0,NA
27053,decile,4,37544,0,NA
27053,decile,5,46649,0,NA
27053,decile,6,53401,0,NA
27053,decile,7,57617,0,NA
27053,decile,8,61906,0,NA
27053,decile,9,66820,0,NA
27053,decile,10,61259,0,NA
27059,all,-99,11722,0,NA
27059,decile,1,2150,0,NA
27059,decile,2,2184,0,NA
27059,decile,3,1705,0,NA
27059,decile,4,1233,0,NA
27059,decile,5,1025,0,NA
27059,decile,6,813,0,NA
27059,decile,7,716,0,NA
27059,decile,8,635,0,NA
27059,decile,9,503,0,NA
27059,decile,10,758,0,NA
27067,all,-99,14014,0,NA
27067,decile,1,2860,0,NA
27067,decile,2,1927,0,NA
27067,decile,3,1571,0,NA
27067,decile,4,1395,0,NA
27067,decile,5,1239,0,NA
27067,decile,6,1128,0,NA
27067,decile,7,1006,0,NA
27067,decile,8,871,0,NA
27067,decile,9,862,0,NA
27067,decile,10,1155,0,NA
27079,all,-99,9738,1,Gregor
27079,decile,1,1465,1,Gregor
27079,decile,2,1585,1,Gregor
27079,decile,3,1324,1,Gregor
27079,decile,4,1146,1,Gregor
27079,decile,5,910,1,Gregor
27079,decile,6,794,1,Gregor
27079,decile,7,689,1,Gregor
27079,decile,8,571,1,Gregor
27079,decile,9,480,1,Gregor
27079,decile,10,774,1,Gregor
27085,all,-99,12706,0,NA
27085,decile,1,1764,0,NA
27085,decile,2,1521,0,NA
27085,decile,3,1521,0,NA
27085,decile,4,1410,0,NA
27085,decile,5,1191,0,NA
27085,decile,6,1041,0,NA
27085,decile,7,890,0,NA
27085,decile,8,904,0,NA
27085,decile,9,924,0,NA
27085,decile,10,1540,0,NA
27091,all,-99,7405,0,NA
27091,decile,1,1638,0,NA
27091,decile,2,1134,0,NA
27091,decile,3,903,0,NA
27091,decile,4,675,0,NA
27091,decile,5,609,0,NA
27091,decile,6,511,0,NA
27091,decile,7,470,0,NA
27091,decile,8,411,0,NA
27091,decile,9,357,0,NA
27091,decile,10,697,0,NA
27093,all,-99,8044,0,NA
27093,decile,1,1438,0,NA
27093,decile,2,1186,0,NA
27093,decile,3,993,0,NA
27093,decile,4,854,0,NA
27093,decile,5,662,0,NA
27093,decile,6,582,0,NA
27093,decile,7,527,0,NA
27093,decile,8,549,0,NA
27093,decile,9,459,0,NA
27093,decile,10,794,0,NA
27095,all,-99,8844,0,NA
27095,decile,1,1563,0,NA
27095,decile,2,1282,0,NA
27095,decile,3,1049,0,NA
27095,decile,4,906,0,NA
27095,decile,5,797,0,NA
27095,decile,6,672,0,NA
27095,decile,7,628,0,NA
27095,decile,8,568,0,NA
27095,decile,9,554,0,NA
27095,decile,10,825,0,NA
27099,all,-99,12563,0,NA
27099,decile,1,800,0,NA
27099,decile,2,1111,0,NA
27099,decile,3,1230,0,NA
27099,decile,4,1373,0,NA
27099,decile,5,1450,0,NA
27099,decile,6,1391,0,NA
27099,decile,7,1277,0,NA
27099,decile,8,1162,0,NA
27099,decile,9,1124,0,NA
27099,decile,10,1645,0,NA
27103,all,-99,11220,1,Vetter
27103,decile,1,1029,1,Vetter
27103,decile,2,1352,1,Vetter
27103,decile,3,1388,1,Vetter
27103,decile,4,1329,1,Vetter
27103,decile,5,1250,1,Vetter
27103,decile,6,1026,1,Vetter
27103,decile,7,984,1,Vetter
27103,decile,8,994,1,Vetter
27103,decile,9,806,1,Vetter
27103,decile,10,1062,1,Vetter
27121,all,-99,4065,1,Bartlett
27121,decile,1,864,1,Bartlett
27121,decile,2,624,1,Bartlett
27121,decile,3,479,1,Bartlett
27121,decile,4,376,1,Bartlett
27121,decile,5,348,1,Bartlett
27121,decile,6,293,1,Bartlett
27121,decile,7,277,1,Bartlett
27121,decile,8,239,1,Bartlett
27121,decile,9,232,1,Bartlett
27121,decile,10,333,1,Bartlett
27123,all,-99,174395,0,NA
27123,decile,1,2762,0,NA
27123,decile,2,6814,0,NA
27123,decile,3,10714,0,NA
27123,decile,4,15174,0,NA
27123,decile,5,19352,0,NA
27123,decile,6,22446,0,NA
27123,decile,7,23919,0,NA
27123,decile,8,24425,0,NA
27123,decile,9,26339,0,NA
27123,decile,10,22450,0,NA
27129,all,-99,5004,0,NA
27129,decile,1,1079,0,NA
27129,decile,2,754,0,NA
27129,decile,3,592,0,NA
27129,decile,4,522,0,NA
27129,decile,5,412,0,NA
27129,decile,6,358,0,NA
27129,decile,7,333,0,NA
27129,decile,8,277,0,NA
27129,decile,9,206,0,NA
27129,decile,10,471,0,NA
27131,all,-99,16908,0,NA
27131,decile,1,2410,0,NA
27131,decile,2,2413,0,NA
27131,decile,3,2036,0,NA
27131,decile,4,1886,0,NA
27131,decile,5,1779,0,NA
27131,decile,6,1494,0,NA
27131,decile,7,1348,0,NA
27131,decile,8,1260,0,NA
27131,decile,9,940,0,NA
27131,decile,10,1342,0,NA
27139,all,-99,44717,0,NA
27139,decile,1,8771,0,NA
27139,decile,2,8012,0,NA
27139,decile,3,6626,0,NA
27139,decile,4,5243,0,NA
27139,decile,5,3768,0,NA
27139,decile,6,2979,0,NA
27139,decile,7,2569,0,NA
