county_fips,farm_name,hh_mail_decile,stat
27121,BARTLETT,-99,88609
27121,BARTLETT,1,18536
27121,BARTLETT,2,12219
27121,BARTLETT,3,10082
27121,BARTLETT,4,8885
27121,BARTLETT,5,7845
27121,BARTLETT,6,6983
27121,BARTLETT,7,6444
27121,BARTLETT,8,5765
27121,BARTLETT,9,5142
27121,BARTLETT,10,6708
27147,BRASE,-99,51866
27147,BRASE,1,8518
27147,BRASE,2,7610
27147,BRASE,3,6451
27147,BRASE,4,5751
27147,BRASE,5,4909
27147,BRASE,6,4137
27147,BRASE,7,3706
27147,BRASE,8,3530
27147,BRASE,9,2817
27147,BRASE,10,4437
27079,GREGOR,-99,115979
27079,GREGOR,1,18664
27079,GREGOR,2,18234
27079,GREGOR,3,15932
27079,GREGOR,4,13694
27079,GREGOR,5,10967
27079,GREGOR,6,9102
27079,GREGOR,7,8135
27079,GREGOR,8,7420
27079,GREGOR,9,6070
27079,GREGOR,10,7761
27163,MCHATTIE,-99,518276
27163,MCHATTIE,1,46133
27163,MCHATTIE,2,55018
27163,MCHATTIE,3,57168
27163,MCHATTIE,4,55658
27163,MCHATTIE,5,54684
27163,MCHATTIE,6,53120
27163,MCHATTIE,7,51988
27163,MCHATTIE,8,50050
27163,MCHATTIE,9,48758
27163,MCHATTIE,10,45699
27043,MNLAKE,-99,51759
27043,MNLAKE,1,7714
27043,MNLAKE,2,7210
27043,MNLAKE,3,6769
27043,MNLAKE,4,5939
27043,MNLAKE,5,4963
27043,MNLAKE,6,4273
27043,MNLAKE,7,3959
27043,MNLAKE,8,3586
27043,MNLAKE,9,2980
27043,MNLAKE,10,4366
27171,THESIS,-99,612054
27171,THESIS,1,48396
27171,THESIS,2,45093
27171,THESIS,3,48643
27171,THESIS,4,54987
27171,THESIS,5,60652
27171,THESIS,6,65546
27171,THESIS,7,68444
27171,THESIS,8,71842
27171,THESIS,9,75485
27171,THESIS,10,72966
27141,TJFARMS,-99,705182
27141,TJFARMS,1,56003
27141,TJFARMS,2,56767
27141,TJFARMS,3,61056
27141,TJFARMS,4,66532
27141,TJFARMS,5,71779
27141,TJFARMS,6,75052
27141,TJFARMS,7,77271
27141,TJFARMS,8,79474
27141,TJFARMS,9,82020
27141,TJFARMS,10,79228
27103,VETTER,-99,62578
27103,VETTER,1,8996
27103,VETTER,2,8885
27103,VETTER,3,8274
27103,VETTER,4,7380
27103,VETTER,5,6080
27103,VETTER,6,5332
27103,VETTER,7,4799
27103,VETTER,8,4313
27103,VETTER,9,3515
27103,VETTER,10,5004
